nom_service,prestataire_id,intitule,updatedBy,status,creationTime,service_id,prix,updatedTime,id,addBy,description,photoUrl,groupe_id
Salons d'esthétique,KHm6LxYCJgONgjtNmDRSDFKBYu42,Extension de cils ,,Affiche,2023-05-12T07:12:44.035368,RF0Gh7aSA6hQiQ4ltqoX,10000,2023-09-21T16:27:54.672108,7Gycf8owl877WPMmmq1A,,"Dites le avec le regard, sublimez votre regard .",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices7Gycf8owl877WPMmmq1A.jpg?alt=media&token=83a255f4-3658-4283-90ab-00a799e58414,fNm6RTc6SfFtjJ73hnTx
SERVICES DIVERS,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,Boucles d'oreilles wings,,Affiche,2024-05-19T00:46:50.105586,3wdruIJ01ALCZxosRmpU,14000,2024-05-19T00:57:19.211853,7UnMLKodGtg6wfXJpTXY,,"Argent 925 rhodié 
Vraies perles_de_culture 
CubicZirconia ",,tT8yKDzWw4zoQtl2g6gm
Médecins & Dentistes,9LCV7b4LZdhlrAtFBn9tJzoxu0p2,Extraction dents de sagesse enclavées,,Affiche,2024-06-26T10:16:07.115550,C3frxp2RDJ2quWKc9mqN,24000,2024-06-26T10:16:10.244721,7geuusa5QA3Xb5HKh9c5,,Pericoranarite due à une malposition de la dent de sagesse ,,eOl1l1Abvz8xoq5ABwtt
SALONS D'ESTHÉTIQUE,cxDNgbdr4IQDKtFMCsEvmuMLjQ52,masque tissu anti âge ,,Affiche,2023-12-01T05:08:14.921840,RF0Gh7aSA6hQiQ4ltqoX,4000,2023-12-01T05:08:58.555094,7hARnBS2p2OgZFtetLt8,,masque tissu au collagène ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices7hARnBS2p2OgZFtetLt8.jpg?alt=media&token=40cc4701-2fae-44eb-9ad4-a612c9662da1,fNm6RTc6SfFtjJ73hnTx
Collèges & Lycées,H9H3rbI1OlcUALvCLe2nbACUBBY2,Livraison ,,Affiche,2024-07-17T17:24:23.557846,Gw3lI40xWXS4MS7tsmY8,7000,2024-07-17T17:24:46.723376,8CxT1wEprg5wDdrJIFKW,H9H3rbI1OlcUALvCLe2nbACUBBY2,Livraison et expédition ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices8CxT1wEprg5wDdrJIFKW.jpg?alt=media&token=d328105c-4f70-4a90-848a-f784a51a6811,48Oxzwdhu2crSuSb9jyD
COLLÈGES & LYCÉES,H9H3rbI1OlcUALvCLe2nbACUBBY2,Section francophone et anglophone ,H9H3rbI1OlcUALvCLe2nbACUBBY2,Affiche,2024-07-22T19:06:06.165470,Gw3lI40xWXS4MS7tsmY8,45000,2024-07-22T19:06:49.334725,8VibTxJc6mnWbUJmnMcm,H9H3rbI1OlcUALvCLe2nbACUBBY2,Manuels scolaires ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices8VibTxJc6mnWbUJmnMcm.jpg?alt=media&token=bd7425a9-fdf1-4e74-97ec-ea84c47c4d7a,48Oxzwdhu2crSuSb9jyD
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,soins ,,Affiche,2024-05-24T07:57:53.925178,RF0Gh7aSA6hQiQ4ltqoX,15000,2024-05-24T07:57:54.271518,8aXLM5k04Dr8WeKtDUrh,,épilation maillot ,,fNm6RTc6SfFtjJ73hnTx
Alimentaire ,6vKFwEf8eMRFjjSNrjJhssgZ15X2,BOUGIES PARFUMÉES ,,Affiche,2024-02-12T11:09:04.832245,YJPGNNffL2VFqwmdoFFG,7000,2024-02-12T11:09:35.264774,8dekgiCqdTZkUzEg12KY,,assortiment de 6 bougies parfumées aux messages coquins,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices8dekgiCqdTZkUzEg12KY.jpg?alt=media&token=cc1f8390-1afe-4e1c-9c4a-0b6c5a3d3cc7,H1rNSqdq9p7Ptonzir0W
SERVICES DIVERS,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,Collier Rama,,Affiche,2024-05-16T23:00:47.891584,3wdruIJ01ALCZxosRmpU,18000,2024-05-19T00:21:16.748215,8ei6JjfhXPEHTToudwZR,,"Argent 925 rhodié 
 Ne change pas, Fin
Léger 
- Discret",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices8ei6JjfhXPEHTToudwZR.jpg?alt=media&token=7599e002-27ca-459e-8f0c-b56b82e740b7,tT8yKDzWw4zoQtl2g6gm
KINÉSITHÉRAPEUTES,jPM73iTHDgVSbvlvwttEozwNIXJ3,Soins à domicile ,,Affiche,2023-04-15T08:35:51.085287,kkjvZAJtoLaxiVNDU2VG,30000,2023-04-25T17:07:35.839397,9QOLy9Xa8Uvp6cSb9SiU,,massage relaxant du dos ,,eOl1l1Abvz8xoq5ABwtt
Salons d'esthétique,cxDNgbdr4IQDKtFMCsEvmuMLjQ52,Bon d’achat,,Affiche,2023-10-30T20:52:12.894917,RF0Gh7aSA6hQiQ4ltqoX,30000,2023-10-30T20:52:13.248106,9QXQvQFu5qlDrBBW14BC,,Bon d’achat non remboursable ,,fNm6RTc6SfFtjJ73hnTx
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,regard,,Affiche,2024-05-24T07:40:25.872175,RF0Gh7aSA6hQiQ4ltqoX,75000,2024-05-24T07:40:26.297906,9knUdzr5lpzfgnjtDj4W,,Microblading ,,fNm6RTc6SfFtjJ73hnTx
SERVICES DIVERS,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,Collier dulcinée ,,Affiche,2024-05-18T20:52:37.375877,3wdruIJ01ALCZxosRmpU,120000,2024-05-18T23:34:19.794172,A3h1yltq1eaYX7LC6lTY,,"Or pur 14 carats(58,5%)
CubicZirconia 
Ne se delave pas.

",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesA3h1yltq1eaYX7LC6lTY.jpg?alt=media&token=25e3c3db-c178-4e32-9b6b-c256ee85c2c1,tT8yKDzWw4zoQtl2g6gm
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,regard ,,Affiche,2024-05-24T07:42:57.332201,RF0Gh7aSA6hQiQ4ltqoX,35000,2024-05-24T07:43:04.992009,A5UMs1G3wL8LAacKuGvz,,make up mariées ,,fNm6RTc6SfFtjJ73hnTx
Salons de coiffure,4OU8k1M6xDaTwc4nbaCoRBE96wt1,haïr cut,,Affiche,2024-05-24T07:46:21.719481,6rpkh8W5T2XyNQbvuCPd,5000,2024-05-24T07:46:22.076717,A5roW4fFMlds8IaOjOVH,,coiffure homme à domicile ,,fNm6RTc6SfFtjJ73hnTx
Services traiteurs,lyhs4mibhVZJQnmsWKgmmulgZXv2,gâteau de mariage ,,Affiche,2023-04-04T12:34:10.533205,JnzHTPdXIKHZfSHEBZi2,250000,2023-09-21T15:02:39.949640,A7bNrWguQfUdL0PeiMCK,,Des gâteaux uniques pour un jour unique,,R3XawjusHQ57Mla9yIcm
Salons d'esthétique,NB0X9FrKDRSGQJGnee7LaBDKCbM2,Massage ,,Affiche,2023-05-03T12:11:21.950645,RF0Gh7aSA6hQiQ4ltqoX,15000,2023-09-21T16:27:54.672634,B17HXrQOx2YhMX6lrNP3,,massage 45 minutes ,,fNm6RTc6SfFtjJ73hnTx
MÉDECINS & DENTISTES,bKqHDmwn88ZRIWJfIBrzjllY6FP2,SOINS D'HYGIÈNE,,Affiche,2023-09-22T18:54:38.642748,C3frxp2RDJ2quWKc9mqN,24000,2023-09-22T18:56:05.072187,B2Y0wt3MofYJIqHEcYAF,,DÉTARTRAGE Dentaire,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesB2Y0wt3MofYJIqHEcYAF.jpg?alt=media&token=56ac19c3-9fd8-4e2b-9bc0-54bc38dae7bc,eOl1l1Abvz8xoq5ABwtt
Alimentaire ,6vKFwEf8eMRFjjSNrjJhssgZ15X2,BIERE PANACHE BELLE FRANCE 25CL,,Affiche,2023-12-25T03:08:31.029018,YJPGNNffL2VFqwmdoFFG,450,2023-12-25T03:19:40.190070,BAAXQBxqPp504iVHZFob,,Mix de bière et limonade à 1% D'alcool en pack de 10 et 20,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesBAAXQBxqPp504iVHZFob.jpg?alt=media&token=274240df-3503-422b-bcfb-e28e72652ddf,H1rNSqdq9p7Ptonzir0W
Tout dans l'événementiel,VcHCeXzJnQQJemdNO9cAnZtRWWe2,STAND,,Affiche,2023-07-12T11:04:02.833469,KZyZa9pEBuGrFOp4Vweq,300000,2024-06-03T17:28:16.239749,BNFi9VZJre4QC54SkvfM,,STAND MEDIUM 8m²,,R3XawjusHQ57Mla9yIcm
Écoles primaires & maternelles,H9H3rbI1OlcUALvCLe2nbACUBBY2,Cartable,,Affiche,2024-07-17T17:17:46.384948,PZUjDYMnd7MdNZZFQ07C,15000,2024-07-17T17:19:22.802424,BWhluLQ8xU74fakWEiIE,H9H3rbI1OlcUALvCLe2nbACUBBY2,Cartable pour primaire,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesBWhluLQ8xU74fakWEiIE.jpg?alt=media&token=1b327009-9638-43c8-9b8d-f1455f174510,48Oxzwdhu2crSuSb9jyD
ALIMENTAIRE ,6vKFwEf8eMRFjjSNrjJhssgZ15X2, BLANC MOELLEUX LA CUVEE DU ROI 1L,,Affiche,2023-12-25T03:26:05.189145,YJPGNNffL2VFqwmdoFFG,1300,2023-12-31T10:33:03.302029,BZyAJGQnyNWbhKx6koHH,,vin blanc moelleux en brique,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesBZyAJGQnyNWbhKx6koHH.jpg?alt=media&token=03976dc5-f380-49fc-80b6-b056d542fef6,H1rNSqdq9p7Ptonzir0W
ALIMENTAIRE ,7M7SLCTcDPfmhxSU0k4E385ucuJ2,"Poulet 1,8kgs",,Affiche,2023-12-20T12:43:54.882579,YJPGNNffL2VFqwmdoFFG,4500,2023-12-20T12:46:07.012830,BpkRFYhgRNuC7WqbRfBq,,poulet entier frais,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesBpkRFYhgRNuC7WqbRfBq.jpg?alt=media&token=ee15695f-6ed2-485f-8d3a-aace34167f88,H1rNSqdq9p7Ptonzir0W
MÉDECINS & DENTISTES,bKqHDmwn88ZRIWJfIBrzjllY6FP2,TRAITEMENT CANALAIRE,,Affiche,2023-09-15T10:23:04.338456,C3frxp2RDJ2quWKc9mqN,40000,2023-09-22T18:26:25.122848,BzYqbSmzVqNmpo3rODu2,,Traitement des canaux Dentaires,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesBzYqbSmzVqNmpo3rODu2.jpg?alt=media&token=1c33798d-bf44-4a6b-8454-7759715a44a6,eOl1l1Abvz8xoq5ABwtt
SERVICES DIVERS,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,Boucles d'oreilles pearla,,Affiche,2024-05-19T00:25:40.364198,3wdruIJ01ALCZxosRmpU,11000,2024-05-19T00:27:35.993240,CFTaRZlAXV1cATjFuMgY,,"Argent rhodié 925
Vraies perles_de_culture 
N'irritent pas ",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesCFTaRZlAXV1cATjFuMgY.jpg?alt=media&token=ec685107-3bfd-4920-a7a0-d94ecd16d06b,tT8yKDzWw4zoQtl2g6gm
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,soins corporels ,,Affiche,2024-05-24T07:37:35.108768,RF0Gh7aSA6hQiQ4ltqoX,35000,2024-05-24T07:37:36.172176,CkYYNkwKd05rUqE9pmcf,,traitement vergetures ,,fNm6RTc6SfFtjJ73hnTx
Info-Com,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,design d’un logo,,Affiche,2023-11-09T16:09:13.138613,I6AWdAj1WnDyzCVW312E,50000,2023-11-09T16:09:13.380804,CyV4SVD1zcOq8iyJ62VC,,mettez en valeur votre entreprise avec un logo parlant,,tT8yKDzWw4zoQtl2g6gm
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,soins du visage ,,Affiche,2024-05-24T07:27:52.114695,RF0Gh7aSA6hQiQ4ltqoX,12000,2024-05-24T07:27:52.482276,D6xsIowYYqmkZ0nP5R1z,,soins hydratants ,,fNm6RTc6SfFtjJ73hnTx
Tout dans l'événementiel,MqOc124jRTc4TXYOfHlEbTreCSa2,Location Taxi en Smart,,Affiche,2023-06-06T14:17:40.229428,KZyZa9pEBuGrFOp4Vweq,5000,2024-06-03T17:28:16.240107,DDBGCkdAaohsP88WM6ge,,"pick up/drop off aéroport,dépôt,course horaire,hors ville ",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServicesDDBGCkdAaohsP88WM6ge.jpg?alt=media&token=16400077-33ed-4933-b795-f487426c6fe0,R3XawjusHQ57Mla9yIcm
