updateTime,ajoute_par,addTime,id,description,nom,photoUrl,groupe_id
2023-09-21T14:54:14.870540,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:19:19.640230,KlUP2Zv1omUxFNp4HwCs,Vente matériels de construction,Quincailleries,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_KlUP2Zv1omUxFNp4HwCs.jpg?alt=media&token=9c8e5152-4909-4c6b-be4c-a90ea4b178b5,NMm07ka3XBMO7S0N6T7y
2023-09-21T16:08:56.107814,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:16:40.754419,P3QgwEo7k03TszLkDKQe,Services de constructions,Entrepreneurs BTP,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_P3QgwEo7k03TszLkDKQe.jpg?alt=media&token=800e310c-2b04-49ff-a294-10028b84d3e4,NMm07ka3XBMO7S0N6T7y
2024-06-03T17:27:40.812808,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:11:48.098804,PLlrrcpMxYZxXVa1jUhv,Offres de voyages,Voyages,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_PLlrrcpMxYZxXVa1jUhv.jpg?alt=media&token=58cc0141-2229-467a-bd90-6f8c5c9ab3dd,atJ7z1W4KzLIoNJZFrY9
2023-09-21T14:49:04.564981,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:27:04.347505,PZUjDYMnd7MdNZZFQ07C,Enseignement primaire,Écoles primaires & maternelles,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_PZUjDYMnd7MdNZZFQ07C.jpg?alt=media&token=227487ee-cd4a-49cf-834f-7f9da1e06f9f,48Oxzwdhu2crSuSb9jyD
2023-09-21T16:39:58.069840,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:14:30.413317,RF0Gh7aSA6hQiQ4ltqoX,Établissements soins esthétiques,Salons d'esthétique,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_RF0Gh7aSA6hQiQ4ltqoX.jpg?alt=media&token=9a2224eb-5263-42dd-bf01-b4a094b1a0d3,fNm6RTc6SfFtjJ73hnTx
2023-09-21T15:04:26.875679,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:04:32.668639,X8IIXOQhGCFdK9TmKLfu,Services funéraires,Pompes funèbres,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_X8IIXOQhGCFdK9TmKLfu.jpg?alt=media&token=b106ffa4-bc30-4917-bb69-087ca560ab26,R3XawjusHQ57Mla9yIcm
2023-09-21T17:02:04.997953,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:30:13.326147,XSMZkpA4YsDjsAB94SWu,Laboratoires d'analyses médicales,Laboratoires,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_XSMZkpA4YsDjsAB94SWu.jpg?alt=media&token=38f81889-b14c-4689-8f84-ea73e29d0414,eOl1l1Abvz8xoq5ABwtt
2023-09-21T14:48:18.309355,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:28:19.096473,YJPGNNffL2VFqwmdoFFG,Supermarchés & supérettes,Alimentaire ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_YJPGNNffL2VFqwmdoFFG.jpg?alt=media&token=05ce5664-e439-4d17-8757-2e7a0dd66115,H1rNSqdq9p7Ptonzir0W
2023-09-21T16:07:06.376144,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:29:36.342361,hdJuxY3tWmuZySExmVKs,Magasins d'optique,Opticiens,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_hdJuxY3tWmuZySExmVKs.jpg?alt=media&token=527a9c9a-e35e-4ff1-bc26-62bb0deaa258,eOl1l1Abvz8xoq5ABwtt
2023-09-21T15:09:13.842561,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:31:12.879034,jWwIcd1tNfkAaJo62njO,Établissements de soins privés,Cliniques,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_jWwIcd1tNfkAaJo62njO.jpg?alt=media&token=d52489fd-5660-4a56-b1eb-f80c5533c858,eOl1l1Abvz8xoq5ABwtt
2023-09-21T14:47:34.859083,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:29:03.437058,kkjvZAJtoLaxiVNDU2VG,Kinésithérapie,Kinésithérapeutes,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_kkjvZAJtoLaxiVNDU2VG.jpg?alt=media&token=7148113e-e012-4264-8668-dc48b3c62b20,eOl1l1Abvz8xoq5ABwtt
2023-09-21T16:16:13.878127,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:15:15.935400,m9efa6bdwh24az6SlL9K,Cabinets d'architectes,Architectes,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_m9efa6bdwh24az6SlL9K.jpg?alt=media&token=b3481870-b979-407c-a11c-2263a6349712,NMm07ka3XBMO7S0N6T7y
2023-09-21T14:55:27.956118,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:18:01.645234,osHwnQTP7wpBpBeVE2s7,Ventes d'électroménager ,Électroménager,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_osHwnQTP7wpBpBeVE2s7.jpg?alt=media&token=8f2fb92f-3da8-4a11-9989-5e8e3b439137,NMm07ka3XBMO7S0N6T7y
2023-09-21T14:45:53.341039,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:30:42.004023,ukOy5p9BTcLnucbZtfXO,Officines,Pharmacies,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_ukOy5p9BTcLnucbZtfXO.jpg?alt=media&token=8320539c-00ee-4c38-be00-c9312683014d,eOl1l1Abvz8xoq5ABwtt
2023-09-21T17:02:32.797890,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:10:41.355261,wRknLouXo7dk7IMavsQ8,Services juridiques,Avocats & Notaires,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_wRknLouXo7dk7IMavsQ8.jpg?alt=media&token=8f8541ee-08a5-4099-beb6-8e9f74098053,uYQhDPTqxbOSjzxNOimn
2023-09-21T14:54:43.185894,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:18:41.724684,xrIvvNLPdmEa5LGyevNf,Vente de produits d'ameublement,Ameublement,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_xrIvvNLPdmEa5LGyevNf.jpg?alt=media&token=84475e0f-14a1-42c6-8c6d-2fc234d4041e,NMm07ka3XBMO7S0N6T7y
